Timestamp	Container ID	Stream	Log Message
2026-02-16T02:04:24.372861571Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	ModuleNotFoundError: No module named 'main'
2026-02-16T02:04:24.372865601Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	
2026-02-16T02:04:24.372869611Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	
2026-02-16T02:04:40.653803886Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Shutting down
2026-02-16T02:04:40.754415257Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Waiting for application shutdown.
2026-02-16T02:04:45.759777057Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	Waiting for active requests to complete...
2026-02-16T02:04:45.759864979Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stdout	All active requests completed. Shutting down.
2026-02-16T02:04:45.760050262Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Application shutdown complete.
2026-02-16T02:04:45.760243046Z	p-9456ace5-tradingbot-00001-deployment-577b5d9569-thdkk	stderr	INFO:     Finished server process [7]
2026-03-09T01:17:33.345002434Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Started server process [7]
2026-03-09T01:17:33.345069017Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Waiting for application startup.
2026-03-09T01:17:33.34532717Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Application startup complete.
2026-03-09T01:17:33.345794223Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-03-09T01:17:34.173904969Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	:0: UserWarning: You do not have a working installation of the service_identity module: 'No module named 'service_identity''.  Please install it from <https://pypi.python.org/pypi/service_identity> and make sure all of its dependencies are satisfied.  Without the service_identity module, Twisted can perform only rudimentary TLS client hostname verification.  Many valid certificate/hostname mappings may be rejected.
2026-03-09T01:17:50.674108962Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:matplotlib.font_manager:generated new fontManager
2026-03-09T01:17:51.428690376Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stdout	Successfully initialized user app
2026-03-09T01:18:36.187198296Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Shutting down
2026-03-09T01:18:36.287727413Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Waiting for application shutdown.
2026-03-09T01:18:41.293146106Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stdout	Waiting for active requests to complete...
2026-03-09T01:18:41.29324033Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stdout	All active requests completed. Shutting down.
2026-03-09T01:18:41.29343896Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Application shutdown complete.
2026-03-09T01:18:41.293764146Z	p-9456ace5-tradingbot-00001-deployment-7465658979-qmrgq	stderr	INFO:     Finished server process [7]
